PROGRAM,DATASET,THREADS,PROCESSES,PARALLEL_TIME,SPEEDUP
serial,SMALL,1,1,198.68659973
198.70000000000000000000,1
pthread,SMALL,2,1,176.32192993000000000000,198.68659973
1.12691597737663215469
pthread,SMALL,4,1,184.71086121000000000000,198.68659973
1.07573533412361485248
